SURVEY_YR,COUNTY_ID,COUNTYNAME,RLH_H_RAC,RLP_P_RAC
2009,10001,臺北縣,9.53,8.35
2009,10002,宜蘭縣,20.77,17
2009,10003,桃園縣,7.03,6.18
2009,10004,新竹縣,8.77,7.25
2009,10005,苗栗縣,13.52,9.87
2009,10006,臺中縣,8.29,6.09
2009,10007,彰化縣,14.51,7.62
2009,10008,南投縣,20.24,15.43
2009,10009,雲林縣,18.28,13.79
2009,10010,嘉義縣,8.54,6.16
2009,10011,臺南縣,8.68,5.94
2009,10012,高雄縣,12.38,10.55
2009,10013,屏東縣,27.26,21.14
2009,10014,臺東縣,47.4,45.7
2009,10015,花蓮縣,26.77,23.76
2009,10016,澎湖縣,42.18,33.87
2009,10017,基隆市,9.48,9.11
2009,10018,新竹市,8.47,7.29
2009,10019,臺中市,8.99,7.59
2009,10020,嘉義市,17.15,14.2
2009,10021,臺南市,14.97,13.29
2009,63000,臺北市,17.05,15.61
2009,64000,高雄市,,
2009,9020,金門縣,,
2009,9007,連江縣,,
