SURVEY_YR,SURVEY_MN,COUNTY_ID,COUNTYNAME,RLH_H_RAC,RLP_P_RAC
2010,12,10001,臺北縣,10.84,9.85
2010,12,10002,宜蘭縣,20.16,16.62
2010,12,10003,桃園縣,8.44,6.74
2010,12,10004,新竹縣,9.22,7.71
2010,12,10005,苗栗縣,14.22,10.64
2010,12,10006,臺中縣,8.37,6.41
2010,12,10007,彰化縣,14.74,7.59
2010,12,10008,南投縣,20.92,16.03
2010,12,10009,雲林縣,17.86,13.71
2010,12,10010,嘉義縣,8.28,6.03
2010,12,10011,臺南縣,9.02,6.38
2010,12,10012,高雄縣,13.49,11.71
2010,12,10013,屏東縣,28.58,22.25
2010,12,10014,臺東縣,47.26,45.69
2010,12,10015,花蓮縣,26.13,22.08
2010,12,10016,澎湖縣,40.5,31.76
2010,12,10017,基隆市,9.81,9.75
2010,12,10018,新竹市,8.93,7.75
2010,12,10019,臺中市,10.24,8.65
2010,12,10020,嘉義市,13.24,7.81
2010,12,10021,臺南市,17.3,15.74
2010,12,63000,臺北市,18.12,16.73
2010,12,64000,高雄市,17.22,15.77
2010,12,9020,金門縣,,
2010,12,9007,連江縣,,
