SURVEY_YR,SURVEY_MN,COUNTY_ID,COUNTYNAME,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT
2009,12,10001,臺北縣,99.03,2.8,1883.46,31.26,20.68,10.58,51.18
2009,12,10002,宜蘭縣,104.31,3,210.87,40.75,22.4,18.35,81.9
2009,12,10003,桃園縣,101.96,3,1637.48,37.25,25.99,11.26,43.32
2009,12,10004,新竹縣,106.37,3.2,362.52,44.46,28.14,16.32,58
2009,12,10005,苗栗縣,108.39,3.3,310.19,42.29,23.3,18.99,81.53
2009,12,10006,臺中縣,102.97,3.4,754.36,36.25,24.14,12.1,50.13
2009,12,10007,彰化縣,105.72,3.7,1182.34,40.64,23.77,16.87,70.99
2009,12,10008,南投縣,106.35,3.1,129.55,40.71,21.84,18.87,86.38
2009,12,10009,雲林縣,109.54,3.2,533.03,44.32,22.76,21.56,94.69
2009,12,10010,嘉義縣,109.28,3.1,280.79,43.42,21.08,22.34,105.96
2009,12,10011,臺南縣,104.46,3,534.2,37.81,19.95,17.86,89.48
2009,12,10012,高雄縣,105.29,2.9,443.89,34.1,20.22,13.88,68.68
2009,12,10013,屏東縣,106.09,3.2,316.35,38.51,21.18,17.33,81.84
2009,12,10014,臺東縣,110.16,2.9,65.09,40.72,22.43,18.3,81.58
2009,12,10015,花蓮縣,106.83,2.8,74.15,39.11,21.82,17.29,79.26
2009,12,10016,澎湖縣,105.94,2.9,788.54,40.66,20.06,20.6,102.73
2009,12,10017,基隆市,101.82,2.7,2723.35,35.04,20.21,14.82,73.33
2009,12,10018,新竹市,98.86,3,3459.99,40.93,27.69,13.24,47.8
2009,12,10019,臺中市,94.87,2.8,6657.5,36.05,24.96,11.09,44.43
2009,12,10020,嘉義市,97.17,2.9,4590.08,40.82,25.49,15.32,60.12
2009,12,10021,臺南市,98.09,2.9,4161.3,34.74,21.87,12.87,58.86
2009,12,63000,臺北市,93.56,2.7,9665.53,38.28,20.82,17.46,83.86
2009,12,64000,高雄市,97.83,2.6,8403.67,34.4,21.02,13.38,63.64
2009,12,9020,金門縣,106.92,3,636.35,34.75,18.43,16.32,88.56
2009,12,9007,連江縣,138.47,4.8,587.22,31.87,19.14,12.73,66.53
