縣市代碼,COUNTYNAME,識字,博士,研究所,研究所畢業,研究所肄業,大學院校,大學院校畢業,大學院校肄業,專科,專科畢業,專科肄業,高中、高職,高中畢業,高中肄業,高職畢業,高職肄業,國中、初職,國中畢業,國中肄業,初職畢業,初職肄業,小學,小學畢業,小學肄業,自修,不識字,未詳
"65000","新北市",3260251,10901,140044,106677,33367,703807,509322,194485,448538,379265,69273,1074758,247256,103015,566161,158326,489822,437697,44720,5847,1558,382948,344672,38276,9433,38504,1
"63000","臺北市",2220274,21570,190152,157795,32357,667957,537757,130200,330067,294354,35713,594934,175238,75146,283768,60782,196781,158189,34002,3884,706,212379,190557,21822,6434,17940,1
"66000","臺中市",2162698,8852,92286,67125,25161,454252,320171,134081,292018,249384,42634,741036,121051,57356,446373,116256,296281,260788,29104,5323,1066,271633,246966,24667,6340,33463,1
"67000","臺南市",1564240,6169,62918,45180,17738,326097,231248,94849,175454,149535,25919,491383,86734,44422,293775,66452,219392,185343,27886,4951,1212,279476,237826,41650,3351,34825,0
"64000","高雄市",2304507,8373,98563,70522,28041,471334,341482,129852,299734,253357,46377,795631,116215,55886,511947,111583,296917,253248,38675,4033,961,326260,277579,48681,7695,50874,1
"10002","宜蘭縣",377067,855,12164,8526,3638,62601,42875,19726,45682,34663,11019,111671,17188,9900,64635,19948,75284,67984,6718,448,134,64744,54009,10735,4066,9973,0
"10003","桃園縣",1615678,5108,63637,47469,16168,339558,236599,102959,205100,178689,26411,576826,118736,61646,316717,79727,223744,189107,32223,1999,415,195968,172793,23175,5737,25317,0
"10004","新竹縣",411856,1808,21753,17899,3854,88488,63255,25233,49581,42553,7028,134580,27206,14359,72714,20301,52794,45662,6385,640,107,60385,52918,7467,2467,4933,0
"10005","苗栗縣",464353,966,13643,9751,3892,82573,56125,26448,48905,40590,8315,161378,28959,14256,94499,23664,71482,65454,5255,612,161,82651,70258,12393,2755,5660,0
"10007","彰化縣",1043618,1984,32057,22283,9774,182343,124376,57967,118713,99386,19327,338936,47062,24834,208334,58706,171242,149977,17921,2698,646,193369,168650,24719,4974,44748,0
"10008","南投縣",435452,815,12328,8454,3874,66750,45113,21637,48406,39137,9269,143114,31137,13421,75169,23387,77551,67914,8623,728,286,85238,70894,14344,1250,8990,0
"10009","雲林縣",577700,1066,14965,9899,5066,86455,58816,27639,54773,44733,10040,175505,31635,15664,98308,29898,107685,91212,13885,2045,543,134348,109011,25337,2903,26524,0
"10010","嘉義縣",443136,797,9717,6525,3192,61919,40855,21064,41621,34376,7245,140120,24843,10345,80845,24087,79522,69112,8616,1495,299,107612,87156,20456,1828,18731,0
"10013","屏東縣",716952,1451,19172,12912,6260,108509,75728,32781,80672,63025,17647,259918,43388,19557,158241,38732,111326,94552,15072,1323,379,132179,112656,19523,3725,21180,0
"10014","臺東縣",187503,254,4464,2890,1574,23350,15182,8168,17289,12720,4569,65669,11009,6502,36435,11723,32559,26114,5955,384,106,43166,35767,7399,752,3961,1
"10015","花蓮縣",281819,853,8470,5725,2745,43505,28612,14893,33004,26396,6608,100663,19752,11113,53979,15819,43288,35556,6825,677,230,51286,43588,7698,750,3182,0
"10016","澎湖縣",82099,217,2551,1687,864,13272,8678,4594,7446,6201,1245,25708,5070,2089,14647,3902,13612,11868,1494,170,80,18950,13830,5120,343,1324,0
"10017","基隆市",319567,717,10389,7473,2916,57921,40636,17285,42602,34666,7936,118940,21964,10427,68763,17786,44664,36703,7560,318,83,43045,37450,5595,1289,5927,0
"10018","新竹市",334475,3744,27851,23480,4371,86150,64868,21282,40115,35652,4463,96633,26624,14445,44662,10902,41019,34197,6513,262,47,38033,34141,3892,930,4570,0
"10020","嘉義市",220419,1037,10234,7259,2975,46983,34168,12815,33079,28901,4178,73483,15275,7287,41185,9736,25875,20658,4310,776,131,29189,25434,3755,539,4188,0
"09020","金門縣",87057,270,3912,2653,1259,19452,13120,6332,10209,8750,1459,28077,7094,3066,13897,4020,10750,8540,2143,38,29,12774,7215,5559,1613,1172,0
"09007","連江縣",8105,6,385,282,103,1790,1312,478,960,807,153,2613,896,481,1072,164,951,795,146,7,3,1226,913,313,174,422,0
