縣市代碼,COUNTYNAME,識字,博士,研究所,研究所畢業,研究所肄業,大學院校,大學院校畢業,大學院校肄業,專科,專科畢業,專科肄業,高中、高職,高中畢業,高中肄業,高職畢業,高職肄業,國中、初職,國中畢業,國中肄業,初職畢業,初職肄業,小學,小學畢業,小學肄業,自修,不識字,未詳
"10001","臺北縣",3201048,4223,133861,101093,32768,652062,473300,178762,452654,381720,70934,1071808,248863,100657,565184,157104,487500,441507,38377,6009,1607,388803,352546,36257,10137,41804,0
"10002","宜蘭縣",374722,406,11887,8180,3707,58608,40449,18159,45791,35097,10694,111156,17740,9525,64870,19021,75308,69464,5255,455,134,67242,56117,11125,4324,11045,0
"10003","桃園縣",1566126,1590,61094,45477,15617,312875,217844,95031,204334,177719,26615,569967,117823,60835,312524,78785,212750,186231,23983,2104,432,197320,176913,20407,6196,27630,0
"10004","新竹縣",403149,367,20608,16825,3783,80633,58272,22361,49977,42805,7172,134300,27547,14045,72951,19757,52030,46657,4587,671,115,62493,55308,7185,2741,5568,0
"10005","苗栗縣",460456,403,12886,8966,3920,75666,51845,23821,49349,40756,8593,161662,29437,14838,94893,22494,71200,65800,4593,638,169,86285,73229,13056,3005,6535,0
"10006","臺中縣",1246196,1205,36680,24967,11713,210302,141371,68931,154449,127499,26950,449915,67643,32946,273599,75727,193342,176454,12525,3607,756,195837,178889,16948,4466,29202,0
"10007","彰化縣",1034475,1013,31027,21046,9981,170195,116349,53846,121975,101269,20706,340709,48194,24151,207894,60470,164511,148535,12548,2768,660,200015,174422,25593,5030,48971,0
"10008","南投縣",435831,343,11928,8046,3882,62529,42737,19792,49366,39733,9633,144053,32084,13479,75108,23382,77115,68936,7173,713,293,89204,74098,15106,1293,10041,0
"10009","雲林縣",575119,475,14607,9503,5104,81289,56002,25287,56261,45874,10387,174821,32455,15018,98623,28725,104565,91501,10321,2173,570,140584,113464,27120,2517,29714,0
"10010","嘉義縣",444457,366,9622,6430,3192,58224,38867,19357,42520,35114,7406,140979,25436,10276,81487,23780,79087,69449,7751,1572,315,111690,90321,21369,1969,20633,0
"10011","臺南縣",914169,1039,27637,18893,8744,160137,110944,49193,96677,81780,14897,292819,47882,22875,182154,39908,139145,121942,13337,3027,839,194833,162485,32348,1882,27551,0
"10012","高雄縣",1014802,1155,30809,21030,9779,170641,118056,52585,121406,99290,22116,369453,48000,23325,244068,54060,150606,134391,13951,1770,494,166933,141253,25680,3799,34816,0
"10013","屏東縣",719536,609,19036,12809,6227,104038,72120,31918,82316,64155,18161,261548,44556,20022,159374,37596,109804,95725,12256,1415,408,138045,117904,20141,4140,23523,0
"10014","臺東縣",189342,72,4361,2750,1611,22040,14584,7456,17339,12901,4438,66236,11204,6111,37052,11869,33190,26588,6089,404,109,45254,37483,7771,850,4345,0
"10015","花蓮縣",281950,223,8582,5844,2738,40527,26721,13806,33556,26666,6890,101116,20188,10748,54523,15657,43143,36368,5809,727,239,53961,45854,8107,842,3542,0
"10016","澎湖縣",80656,100,2372,1571,801,11610,7818,3792,7488,6151,1337,25529,5149,2048,14518,3814,13256,11914,1083,174,85,19882,14418,5464,419,1439,0
"10017","基隆市",321522,302,10460,7538,2922,55627,39493,16134,44168,35920,8248,121385,22721,10473,69829,18362,43696,36495,6775,335,91,44447,38906,5541,1437,6611,0
"10018","新竹市",324358,999,27606,23363,4243,80436,60549,19887,40404,35841,4563,96502,26982,14402,44599,10519,38498,34671,3509,268,50,38910,35454,3456,1003,5072,0
"10019","臺中市",863762,2277,51683,38957,12726,205218,153894,51324,139347,121802,17545,290139,56318,24685,169825,39311,89164,77851,9065,1890,358,83498,76378,7120,2436,7267,0
"10020","嘉義市",218858,458,10257,7267,2990,44872,33027,11845,33584,29322,4262,74076,15829,7011,41588,9648,24946,20841,3153,810,142,30072,26557,3515,593,4647,0
"10021","臺南市",632204,1601,33048,24379,8669,144825,105715,39110,79255,68261,10994,198847,41172,19400,113046,25229,78295,67344,8519,2082,350,94577,84175,10402,1756,10655,0
"63000","臺北市",2173961,6254,186607,154735,31872,631009,507683,123326,329890,292762,37128,592293,179273,68377,285139,59504,198669,166810,27178,3949,732,222144,200368,21776,7095,20112,0
"64000","高雄市",1261984,2454,65171,47401,17770,272974,204215,68759,181513,155759,25754,426332,71058,31851,267820,55603,141028,120439,17649,2437,503,167920,145339,22581,4592,20276,0
"09020","金門縣",79311,88,3436,2307,1129,16415,11288,5127,9534,8161,1373,25460,6734,2232,12900,3594,10151,8085,2006,34,26,12521,6936,5585,1706,1161,0
"09007","連江縣",7962,0,357,266,91,1628,1207,421,997,849,148,2597,911,426,1095,165,937,787,139,8,3,1256,939,317,190,459,0
