縣市代碼,COUNTYNAME,識字,博士,研究所,研究所畢業,研究所肄業,大學院校,大學院校畢業,大學院校肄業,專科,專科畢業,專科肄業,高中、高職,高中畢業,高中肄業,高職畢業,高職肄業,國中、初職,國中畢業,國中肄業,初職畢業,初職肄業,小學,小學畢業,小學肄業,自修,不識字,未詳
"10001","臺北縣",3136826,2652,123295,91371,31924,599774,431612,168162,455443,382391,73052,1060931,248072,101966,558637,152256,491227,444281,39312,5991,1643,392969,356880,36089,10535,43752,1
"10002","宜蘭縣",370172,292,11049,7338,3711,54992,37322,17670,45291,35320,9971,109641,17617,9591,64095,18338,75853,69958,5303,460,132,68548,57165,11383,4506,11709,0
"10003","桃園縣",1533823,784,56461,41489,14972,288741,200287,88454,205039,178569,26470,564735,117521,60323,309917,76974,212105,185350,24152,2159,444,199559,179305,20254,6399,28968,0
"10004","新竹縣",393586,125,18794,15215,3579,73655,53019,20636,50131,42913,7218,132345,27085,13988,72460,18812,52122,46827,4503,676,116,63526,56208,7318,2888,5918,0
"10005","苗栗縣",455040,247,11787,8076,3711,70428,47505,22923,49966,40925,9041,159931,29080,15043,94001,21807,71238,65823,4601,646,168,88292,74826,13466,3151,7072,0
"10006","臺中縣",1230374,762,33609,22306,11303,195116,129034,66082,156705,128406,28299,444815,66858,33344,270940,73673,194922,178139,12340,3680,763,199719,182417,17302,4726,30695,0
"10007","彰化縣",1025117,677,28522,18868,9654,162295,107092,55203,124281,102635,21646,334738,46505,24162,203997,60074,165539,149451,12612,2803,673,203806,177719,26087,5259,51301,0
"10008","南投縣",432030,196,11072,7173,3899,58689,39499,19190,49725,40000,9725,142195,31621,13493,74344,22737,77608,69268,7307,736,297,91170,75655,15515,1375,10641,0
"10009","雲林縣",570308,249,13384,8499,4885,75575,51529,24046,57135,46310,10825,173411,32771,15710,97327,27603,104430,91275,10319,2252,584,143495,115573,27922,2629,31219,0
"10010","嘉義縣",440373,246,8941,5799,3142,53591,35331,18260,43067,35474,7593,139952,25422,10860,80721,22949,78836,69131,7767,1615,323,113755,91838,21917,1985,21804,0
"10011","臺南縣",905606,565,25635,17241,8394,150814,102403,48411,97807,82486,15321,290501,47103,22900,181021,39477,139712,122048,13712,3094,858,198600,165354,33246,1972,29120,0
"10012","高雄縣",1006012,580,28784,19071,9713,160487,109111,51376,123211,99923,23288,367809,47599,23144,242776,54290,150522,134230,13962,1821,509,170612,144314,26298,4007,36526,0
"10013","屏東縣",713555,383,17543,11536,6007,97685,67113,30572,82886,64449,18437,259720,44727,20411,158497,36085,109990,95748,12368,1452,422,140964,120378,20586,4384,24818,0
"10014","臺東縣",187227,92,3907,2432,1475,20505,13412,7093,17180,12912,4268,64931,11020,5424,36545,11942,33366,26692,6151,412,111,46331,38321,8010,915,4612,0
"10015","花蓮縣",279773,100,8040,5420,2620,37523,24628,12895,33836,26845,6991,100365,19794,10460,54733,15378,43526,36661,5863,751,251,55477,47097,8380,906,3740,0
"10016","澎湖縣",77343,73,2045,1332,713,10190,6899,3291,7248,5919,1329,24070,4979,1971,13823,3297,13270,11915,1092,178,85,20037,14421,5616,410,1504,0
"10017","基隆市",318756,155,9962,7105,2857,52727,36892,15835,44845,36392,8453,120257,22629,10532,69299,17797,43973,36709,6824,347,93,45304,39687,5617,1533,6985,0
"10018","新竹市",317345,611,25703,21644,4059,75356,56114,19242,40841,36116,4725,95396,26673,14022,44398,10303,38894,35100,3468,276,50,39484,36132,3352,1060,5372,0
"10019","臺中市",848952,1462,48328,35994,12334,194816,145108,49708,140081,122125,17956,286701,55551,24544,168699,37907,89810,78656,8848,1935,371,85189,78084,7105,2565,7632,0
"10020","嘉義市",216564,318,9655,6795,2860,42362,31256,11106,33833,29556,4277,74293,16065,7121,41810,9297,24760,20850,2933,832,145,30718,27169,3549,625,4941,0
"10021","臺南市",624689,1057,30932,22558,8374,138055,99133,38922,79321,68514,10807,198050,40901,19196,113021,24932,78961,68234,8254,2136,337,96524,85986,10538,1789,11299,0
"63000","臺北市",2171629,4067,180342,148411,31931,612797,492390,120407,336591,298295,38296,596381,183253,67415,287800,57913,205147,173585,26849,3981,732,228808,206515,22293,7496,21443,0
"64000","高雄市",1250048,1541,61251,43970,17281,260549,192937,67612,184139,157290,26849,425724,70778,31734,267626,55586,140899,120182,17731,2468,518,171134,148228,22906,4811,21138,0
"09020","金門縣",70944,60,2952,1959,993,13626,9515,4111,8622,7378,1244,22594,6090,1900,11453,3151,9169,7175,1932,36,26,12148,6567,5581,1773,1198,0
"09007","連江縣",7747,0,332,218,114,1511,1118,393,976,833,143,2544,919,409,1063,153,908,756,141,8,3,1279,955,324,197,482,0
